,Time_Start,Time_Stop,Time_Mid,RH,Dp,RI,GF,kappa
101,2024-06-10 12:50:42,2024-06-10 12:51:10,2024-06-10 12:50:56.000,85.2531,180,1.5248,1.1114,0.06448828767389359
102,2024-06-10 12:51:29,2024-06-10 12:51:57,2024-06-10 12:51:43.000,85.0903,200,1.5413,1.2083,0.13388799891751987
103,2024-06-10 12:52:16,2024-06-10 12:52:44,2024-06-10 12:52:30.000,85.3618,250,1.5499,1.2355,0.1519249933670203
104,2024-06-10 12:53:03,2024-06-10 12:53:32,2024-06-10 12:53:17.500,85.3601,350,1.5233,1.2582,0.17010377643643543
105,2024-06-10 12:53:32,2024-06-10 12:53:45,2024-06-10 12:53:38.500,84.7911,350,1.5194,1.3308,0.24338317312624233
106,2024-06-10 12:54:04,2024-06-10 12:54:29,2024-06-10 12:54:16.500,85.5593,200,1.5374,1.3228,0.22188415453529217
107,2024-06-10 12:54:29,2024-06-10 12:55:04,2024-06-10 12:54:46.500,84.5365,200,1.5325,1.2458,0.17075739528985692
108,2024-06-10 12:55:04,2024-06-10 12:55:34,2024-06-10 12:55:19.000,85.4205,200,1.5269,1.2414,0.15584530874307104
109,2024-06-10 12:55:34,2024-06-10 12:56:04,2024-06-10 12:55:49.000,84.9575,200,1.5262,1.2249,0.14834286875350736
110,2024-06-10 12:56:04,2024-06-10 12:56:32,2024-06-10 12:56:18.000,85.0567,200,1.5264,1.2261,0.14814260768836665
111,2024-06-10 12:56:32,2024-06-10 12:57:01,2024-06-10 12:56:46.500,84.7759,200,1.5224,1.2198,0.1463500598158309
112,2024-06-10 12:57:01,2024-06-10 12:57:31,2024-06-10 12:57:16.000,84.804,200,1.5262,1.1628,0.10253704473207621
113,2024-06-10 12:57:31,2024-06-10 12:57:58,2024-06-10 12:57:44.500,85.1885,200,1.5316,1.1999,0.1265003370860061
114,2024-06-10 12:57:58,2024-06-10 12:58:28,2024-06-10 12:58:13.000,86.3897,200,1.5337,1.215,0.1250301380658213
115,2024-06-10 12:58:28,2024-06-10 12:58:57,2024-06-10 12:58:42.500,86.2055,200,1.5245,1.2278,0.1361599438073396
116,2024-06-10 12:58:57,2024-06-10 12:59:27,2024-06-10 12:59:12.000,85.772,200,1.5258,1.2389,0.1495513254521132
117,2024-06-10 12:59:48,2024-06-10 13:00:16,2024-06-10 13:00:02.000,85.3614,180,1.5161,1.0908,0.051083783214278686
118,2024-06-10 13:00:35,2024-06-10 13:01:03,2024-06-10 13:00:49.000,85.3918,200,1.5329,1.2244,0.14294244474442575
119,2024-06-10 13:01:22,2024-06-10 13:01:48,2024-06-10 13:01:35.000,85.1804,250,1.5367,1.3265,0.23210752586338937
120,2024-06-10 13:02:09,2024-06-10 13:02:32,2024-06-10 13:02:20.500,85.1285,350,1.5171,1.3193,0.2264586777730304
121,2024-06-10 13:03:06,2024-06-10 13:03:35,2024-06-10 13:03:20.500,84.3824,450,1.5141,1.2556,0.1812857464688522
122,2024-06-10 13:05:20,2024-06-10 13:05:44,2024-06-10 13:05:32.000,85.1033,450,1.5124,1.2556,0.17145292874532123
123,2024-06-10 13:06:17,2024-06-10 13:06:45,2024-06-10 13:06:31.000,84.2601,350,1.5174,1.2582,0.18527241349697648
124,2024-06-10 13:06:45,2024-06-10 13:06:53,2024-06-10 13:06:49.000,85.6333,350,1.5182,1.2353,0.148480810101602
125,2024-06-10 13:07:14,2024-06-10 13:07:41,2024-06-10 13:07:27.500,84.8328,250,1.53,1.2591,0.1780907242200264
126,2024-06-10 13:08:01,2024-06-10 13:08:29,2024-06-10 13:08:15.000,84.9494,200,1.5312,1.2011,0.12982343409490824
127,2024-06-10 13:08:48,2024-06-10 13:09:16,2024-06-10 13:09:02.000,84.2386,180,1.5181,1.0908,0.055735087725461235
128,2024-06-10 13:09:35,2024-06-10 13:10:05,2024-06-10 13:09:50.000,84.3469,200,1.5331,1.2069,0.1406658979332636
129,2024-06-10 13:10:05,2024-06-10 13:10:35,2024-06-10 13:10:20.000,84.5229,200,1.5364,1.1972,0.13109529234042078
130,2024-06-10 13:10:35,2024-06-10 13:11:05,2024-06-10 13:10:50.000,84.1356,200,1.5404,1.2518,0.1813121314973355
131,2024-06-10 13:11:05,2024-06-10 13:11:34,2024-06-10 13:11:19.500,85.3121,200,1.5511,1.343,0.24487275646355094
132,2024-06-10 13:11:34,2024-06-10 13:11:49,2024-06-10 13:11:41.500,85.1636,200,1.5597,1.2707,0.18322980084601978
133,2024-06-10 13:11:49,2024-06-10 13:12:37,2024-06-10 13:12:13.000,84.46,200,1.5489,1.1762,0.11540183259491525
134,2024-06-10 13:12:37,2024-06-10 13:13:04,2024-06-10 13:12:50.500,84.0054,200,1.5499,1.1644,0.11018911797619392
135,2024-06-10 13:13:04,2024-06-10 13:13:30,2024-06-10 13:13:17.000,83.836,200,1.5467,1.1882,0.1306299419096797
136,2024-06-10 13:13:51,2024-06-10 13:14:19,2024-06-10 13:14:05.000,84.163,180,1.5284,1.0767,0.046703915273865734
137,2024-06-10 13:14:38,2024-06-10 13:15:05,2024-06-10 13:14:51.500,83.9867,200,1.5438,1.1976,0.13683104987653216
138,2024-06-10 13:15:25,2024-06-10 13:15:51,2024-06-10 13:15:38.000,84.2532,250,1.5417,1.2473,0.17577734117338442
139,2024-06-10 13:16:12,2024-06-10 13:16:42,2024-06-10 13:16:27.000,84.115,350,1.5237,1.2794,0.20663894317681847
